constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
1,0.7777777777777777,0.6666666666666666,131768,510560,902,0.00684536458017121,0.0017666875587590094,1.2093620438958067e-05,Random,87f249a0-1
9,0.0,0.1111111111111111,1185408,1360800,172800,0.1457725947521866,0.12698412698412698,0.018510805682817343,Enumeration,d9669406-9
6,0.0,0.4444444444444444,2016840,1868915,435704,0.21603300212213164,0.2331320579052552,0.050364218360182914,Random,87f249a0-6
19,0.0,0.1111111111111111,129600,172800,720,0.005555555555555557,0.004166666666666668,2.314814814814815e-05,Random,d9669406-19
11,0.0,1.0,846720,1,0,0.0,0.0,0.0,Enumeration,87f249a0-11
10,0.5555555555555556,0.5555555555555556,694613,576871,367,0.0005283517584611864,0.0006361907601526164,3.361325068433937e-07,Random,d9669406-10
6,0.0,1.0,2016840,1,0,0.0,0.0,0.0,Enumeration,87f249a0-6
8,0.0,0.5555555555555556,1382976,814396,38653,0.02794914734601324,0.04746216828176957,0.0013265271346684533,Random,d9669406-8
1,0.0,0.4444444444444444,4941258,3695150,3034567,0.6141284264047738,0.8212297200384288,0.5043405156840333,Enumeration,87f249a0-1
12,0.0,1.0,635040,1,0,0.0,0.0,0.0,Enumeration,d9669406-12
3,0.0,0.4444444444444444,3529470,2866804,1562459,0.4426894122913639,0.5450177270577271,0.2412735772795601,Random,8cce13a3-3
17,0.4444444444444444,0.5555555555555556,198563,141841,0,0.0,0.0,0.0,Random,87f249a0-17
23,0.0,0.6666666666666666,48000,21874,0,0.0,0.0,0.0,Random,d9669406-23
3,0.6666666666666666,0.7777777777777777,775927,59740,422,0.0005438655956037102,0.007063943756277202,3.8418359783188106e-06,Random,d9669406-3
8,0.7777777777777777,0.5555555555555556,63648,814396,0,0.0,0.0,0.0,Random,87f249a0-8
7,0.0,0.4444444444444444,1613472,1571372,204607,0.1268116211499177,0.13020914207456924,0.016512032395016085,Random,d9669406-7
14,0.4444444444444444,0.6666666666666666,445834,93335,0,0.0,0.0,0.0,Random,d9669406-14
15,0.2222222222222222,0.6666666666666666,378000,81325,0,0.0,0.0,0.0,Random,87f249a0-15
